FID;rate_5;rate_10;rate_25;rate_50;rate_100;rate_300;rate_500;rate_1000;rate_2000;ari10;ari50;ari100;ari200;ari500;ari1000;ari2500;ari500P;ari500M;ari500LL;ari500ZL;POINT_X;POINT_Y
22;0.163400762852980;0.081392431750892;0.028778557793023;0.011926854757758;0.004397822220491;0.000634581001182;0.000213794503587;0.000039030819946;0.000005302252575;0.100000000000000;0.335475925432446;0.568392689971780;0.919336858606337;1.619215599640228;2.370237984473856;3.754278368267778;2.948465958992057;0.801731497673335;1.002062701463099;0.815338574643541;184.040359497000000;64.617935180700002
23;0.172398277738368;0.086762016521714;0.031071791596681;0.012975814858970;0.004823584620951;0.000706335612199;0.000237615177803;0.000042323525785;0.000005438402765;0.100000000000000;0.357544562408832;0.604642170301971;0.975583257533636;1.713116770526504;2.504481289558746;3.943549265245351;3.095145051043330;0.852815053646420;1.063671746500656;0.871430893896194;183.799896240000010;64.791732788100006
24;0.173517744302166;0.086633980632861;0.030309600171252;0.012313899470460;0.004438460670538;0.000622703025179;0.000205468449358;0.000035436445984;0.000004368106352;0.100000000000000;0.347123003061710;0.579473777877823;0.926531629958593;1.615784698904028;2.354731076107007;3.706827072590332;2.874771887895110;0.794369417782752;0.999139093971133;0.843587556558808;183.742462158000000;65.009193420399995
25;0.160346713345464;0.079163250401368;0.027295806588261;0.011014458621959;0.004010442626941;0.000615193524639;0.000220616270767;0.000044610867909;0.000006752905944;0.100000000000000;0.319370755713197;0.536019760631652;0.864122377802368;1.542644955554881;2.302597672087328;3.743490284931851;2.880890073375597;0.719848208148179;0.972981485708137;0.810782361851766;183.493988037000010;65.139305114699994
26;0.178298533418642;0.088971689400223;0.031207792052867;0.012843665670963;0.004742944470845;0.000706269017100;0.000243693499183;0.000045917662943;0.000006376100687;0.100000000000000;0.356492841036409;0.599118574308774;0.965192988569804;1.699799299770742;2.497041355461787;3.965959408984040;3.092838519971812;0.822833769571046;1.054282851832405;0.853071488978668;183.099288940000010;65.208984375000000
27;0.191456979680863;0.096110247517761;0.033874800998718;0.013902781022463;0.005110472757660;0.000779526026748;0.000278894856004;0.000056474960813;0.000008550708918;0.100000000000000;0.379798047512969;0.633205310800275;1.012730843367067;1.778736019027390;2.623531279979014;4.197501637092211;3.257735372551161;0.877725738597270;1.093799818799442;0.875468056673320;182.744995117000000;65.104110717799998
28;0.184588820194136;0.092111782020267;0.032171167092193;0.013074902039574;0.004731340424409;0.000683695161150;0.000233229190780;0.000043030176577;0.000005768106556;0.100000000000000;0.363438498976600;0.604570877644000;0.964383843132156;1.682422962581965;2.460218480091869;3.895572948255779;3.102637576664783;0.826369830843168;1.032684894911973;0.848010973727276;182.347061157000010;65.070777893100001
29;0.156443106066650;0.077340442039308;0.026696375793663;0.010674887042011;0.003775115090822;0.000525323874819;0.000175681662368;0.000031328654946;0.000004036694480;0.100000000000000;0.313641214156095;0.523475484781382;0.834988689040764;1.462556290176887;2.154059568120772;3.419951330793754;2.703610154541633;0.721124175025546;0.905163333517516;0.769287990841133;181.860443115000010;65.077056884800001
30;0.144798955827319;0.070397200415952;0.023577629394183;0.009241287800729;0.003232038839672;0.000440425684470;0.000144375809844;0.000024863050222;0.000003079311643;0.100000000000000;0.283619838877807;0.472253065368439;0.756570415830789;1.333130438264026;1.966996498096399;3.136600566124046;2.461040292744511;0.649249043722089;0.834562920281887;0.735388625718799;181.419723511000000;65.087448120100007
31;0.143586304056488;0.071730460547983;0.025437305325628;0.010368016559332;0.003651822178126;0.000464959164958;0.000145641031966;0.000023759065654;0.000002828495763;0.100000000000000;0.303768228323974;0.512641402364533;0.819315728770069;1.419474494380330;2.060222079061705;3.209570011722120;2.503338239637470;0.707330371895986;0.860056284560073;0.685594144878624;181.173873901000010;65.259422302199994
32;0.149661154710014;0.076292588497523;0.028133371213831;0.011892122105780;0.004307021967575;0.000541437365718;0.000164486655549;0.000025526491633;0.000002913131958;0.100000000000000;0.332308828711568;0.567045809510328;0.909596006577121;1.561234880860367;2.238110644495669;3.430041607101430;2.701727762985896;0.811489093739999;0.933421879719429;0.724481704617182;181.104125977000000;65.476867675799994
33;0.141684991582817;0.071612780673559;0.026020537154325;0.010876480311458;0.003960041029578;0.000542633225501;0.000177058108327;0.000030514616069;0.000003814637758;0.100000000000000;0.310963905418707;0.531940167304511;0.858814949014780;1.506165065650669;2.203294573884905;3.463054467986124;2.644531817377842;0.747067473401840;0.925256862362308;0.722929357925659;181.012542725000000;65.315719604500003
34;0.139072488091924;0.068124602287732;0.023357653775954;0.009274332745771;0.003218357241030;0.000420932925536;0.000136066042959;0.000023241253887;0.000002865851617;0.100000000000000;0.282242702539663;0.473176757468526;0.757233186528362;1.322775996700859;1.936803736666988;3.068641332951306;2.442874884836616;0.650314690966459;0.808238915908028;0.656519830636774;180.804214478000010;65.121215820299994
35;0.141357963471529;0.069584903129974;0.024083198202121;0.009750859803585;0.003541105095940;0.000531804812967;0.000186434963911;0.000035680696688;0.000004946123983;0.100000000000000;0.289805456255511;0.490265157536022;0.795629230071556;1.425942345335149;2.136137020123704;3.461896737143573;2.668344175263655;0.679413028518511;0.902357118435882;0.760243559742713;180.642486572000000;64.917442321799996
36;0.149831660586477;0.075023748896991;0.026738763072444;0.011040971176811;0.004022707792812;0.000577893974546;0.000195963159920;0.000035840548420;0.000004770640112;0.100000000000000;0.316561653618398;0.537432027421032;0.867015477170460;1.530268293128207;2.254766305132799;3.590216794579541;2.811236400253222;0.753511024309445;0.949344884068118;0.765736874004132;180.350921631000010;64.767532348600000
